	null source	target	value
0	2 0 26 1
1	2 0 27 1
2	2 0 28 1
3	2 0 29 1
4	2 0 30 1
5	2 0 31 1
6	2 0 32 1
7	2 0 33 1
8	2 0 34 1
9	2 0 35 1
10	2 0 36 1
11	2 0 37 1
12	2 0 38 1
13	2 0 39 1
14	2 0 40 1
15	3 1 26 1
16	3 1 27 1
17	3 1 29 1
18	3 1 30 1
19	3 1 33 1
20	3 1 34 1
21	3 1 35 1
22	3 1 36 1
23	3 1 37 1
24	3 1 40 1
25	4 2 26 1
26	4 2 31 1
27	4 2 33 1
28	4 2 37 1
29	4 2 40 1
30	5 3 27 1
31	5 3 29 1
32	5 3 30 1
33	6 4 27 1
34	6 4 29 1
35	7 5 27 1
36	7 5 29 1
37	8 6 27 1
38	9 7 27 1
39	10 8 27 1
40	10 8 29 1
41	11 9 28 1
42	11 9 31 1
43	11 9 32 1
44	11 9 34 1
45	11 9 38 1
46	11 9 39 1
47	12 10 30 1
48	12 10 36 1
49	13 11 30 1
50	14 12 33 1
51	15 13 33 1
52	16 14 34 1
53	16 14 35 1
54	17 15 34 1
55	17 15 35 1
56	18 16 35 1
57	19 17 36 1
58	20 18 36 1
59	21 19 36 1
60	22 20 36 1
61	23 21 36 1
62	24 22 37 1
63	24 22 40 1
64	25 23 37 1
65	25 23 40 1
66	26 24 37 1
67	26 24 40 1
68	27 25 40 1
